,k1,k2,lev
0,0,3,88.0
1,0,4,64.0
2,0,16,71.0
3,0,21,59.0
4,0,22,186.0
5,0,30,273.0
6,0,41,282.0
7,0,51,67.0
8,0,56,281.0
9,1,2,279.0
10,1,7,273.0
11,1,11,194.0
12,1,12,269.0
13,1,26,47.0
14,1,38,109.0
15,1,50,275.0
16,1,54,270.0
17,1,58,193.0
18,1,59,278.0
19,2,7,206.0
20,2,11,241.0
21,2,12,211.0
22,2,26,282.0
23,2,38,285.0
24,2,50,200.0
25,2,54,218.0
26,2,58,245.0
27,2,59,198.0
28,3,4,113.0
29,3,16,124.0
30,3,21,119.0
31,3,22,191.0
32,3,30,286.0
33,3,41,293.0
34,3,51,118.0
35,3,56,291.0
36,4,16,98.0
37,4,21,84.0
38,4,22,205.0
39,4,30,279.0
40,4,41,294.0
41,4,51,91.0
42,4,56,289.0
43,5,6,212.0
44,5,10,195.0
45,5,13,284.0
46,5,14,35.0
47,5,24,284.0
48,5,25,279.0
49,5,39,198.0
50,5,42,280.0
51,5,47,45.0
52,6,10,128.0
53,6,13,286.0
54,6,39,128.0
55,6,42,279.0
56,7,11,278.0
57,7,12,50.0
58,7,26,271.0
59,7,38,266.0
60,7,50,96.0
61,7,54,46.0
62,7,58,275.0
63,7,59,117.0
64,8,15,284.0
65,8,19,290.0
66,8,28,274.0
67,8,32,272.0
68,8,33,44.0
69,8,43,270.0
70,8,45,108.0
71,8,53,288.0
72,8,55,45.0
73,9,18,14.0
74,9,20,191.0
75,9,29,206.0
76,9,31,40.0
77,9,34,114.0
78,9,48,278.0
79,9,49,279.0
80,9,57,275.0
81,9,60,278.0
82,10,13,290.0
83,10,14,196.0
84,10,24,285.0
85,10,25,289.0
86,10,39,114.0
87,10,42,289.0
88,10,47,198.0
89,11,12,287.0
90,11,26,209.0
91,11,38,208.0
92,11,50,284.0
93,11,54,288.0
94,11,58,126.0
95,11,59,281.0
96,12,26,265.0
97,12,38,273.0
98,12,50,98.0
99,12,54,35.0
100,12,58,278.0
101,12,59,112.0
102,13,14,286.0
103,13,24,60.0
104,13,25,131.0
105,13,39,293.0
106,13,42,69.0
107,13,47,285.0
108,14,24,286.0
109,14,25,279.0
110,14,39,197.0
111,14,42,283.0
112,14,47,19.0
113,15,19,124.0
114,15,28,180.0
115,15,32,184.0
116,15,33,290.0
117,15,43,189.0
118,15,45,287.0
119,15,53,125.0
120,15,55,288.0
121,16,21,46.0
122,16,22,204.0
123,16,30,275.0
124,16,41,293.0
125,16,51,42.0
126,16,56,284.0
127,17,23,282.0
128,17,27,204.0
129,17,35,278.0
130,17,36,189.0
131,17,37,113.0
132,17,40,188.0
133,17,44,191.0
134,17,46,110.0
135,17,52,189.0
136,18,20,189.0
137,18,29,203.0
138,18,31,45.0
139,18,34,115.0
140,18,48,278.0
141,18,49,284.0
142,18,57,273.0
143,18,60,277.0
144,19,28,199.0
145,19,32,197.0
146,19,33,286.0
147,19,43,204.0
148,19,45,293.0
149,19,53,125.0
150,19,55,288.0
151,20,29,127.0
152,20,31,192.0
153,20,34,191.0
154,20,48,282.0
155,20,49,288.0
156,20,57,247.0
157,20,60,279.0
158,21,22,199.0
159,21,30,276.0
160,21,41,291.0
161,21,51,42.0
162,21,56,283.0
163,22,30,289.0
164,22,41,250.0
165,22,51,205.0
166,22,56,257.0
167,23,27,287.0
168,23,35,108.0
169,23,36,287.0
170,23,37,284.0
171,23,40,285.0
172,23,44,285.0
173,23,46,280.0
174,23,52,289.0
175,24,25,115.0
176,24,39,288.0
177,24,42,38.0
178,24,47,283.0
179,25,39,290.0
180,25,42,118.0
181,25,47,277.0
182,26,38,114.0
183,26,50,269.0
184,26,54,264.0
185,26,58,204.0
186,26,59,275.0
187,27,35,284.0
188,27,36,56.0
189,27,37,200.0
190,27,40,55.0
191,27,44,70.0
192,27,46,199.0
193,27,52,68.0
194,28,32,66.0
195,28,33,274.0
196,28,43,82.0
197,28,45,270.0
198,28,53,189.0
199,28,55,273.0
200,29,31,210.0
201,29,34,210.0
202,29,48,271.0
203,29,49,279.0
204,29,57,241.0
205,29,60,266.0
206,30,41,205.0
207,30,51,283.0
208,30,56,188.0
209,31,34,118.0
210,31,48,281.0
211,31,49,279.0
212,31,57,278.0
213,31,60,283.0
214,32,33,270.0
215,32,43,111.0
216,32,45,271.0
217,32,53,191.0
218,32,55,270.0
219,33,43,273.0
220,33,45,102.0
221,33,53,283.0
222,33,55,15.0
223,34,48,276.0
224,34,49,277.0
225,34,57,278.0
226,34,60,277.0
227,35,36,276.0
228,35,37,279.0
229,35,40,279.0
230,35,44,276.0
231,35,46,278.0
232,35,52,280.0
233,36,37,187.0
234,36,40,10.0
235,36,44,37.0
236,36,46,187.0
237,36,52,37.0
238,37,40,184.0
239,37,44,184.0
240,37,46,102.0
241,37,52,188.0
242,38,50,269.0
243,38,54,268.0
244,38,58,202.0
245,38,59,269.0
246,39,42,285.0
247,39,47,199.0
248,40,44,31.0
249,40,46,186.0
250,40,52,33.0
251,41,51,293.0
252,41,56,126.0
253,42,47,281.0
254,43,45,273.0
255,43,53,205.0
256,43,55,276.0
257,44,46,185.0
258,44,52,33.0
259,45,53,298.0
260,45,55,103.0
261,46,52,186.0
262,48,49,73.0
263,48,57,183.0
264,48,60,42.0
265,49,57,199.0
266,49,60,55.0
267,50,54,100.0
268,50,58,275.0
269,50,59,57.0
270,51,56,285.0
271,53,55,287.0
272,54,58,278.0
273,54,59,123.0
274,57,60,181.0
275,58,59,275.0
